a,gamma
90.28736,0.4379534704788861
97.61105,0.2835848799673585
102.6108,0.2988180369250883
107.7956,0.30361468472928116
113.6664,0.6860961408656993
114.3516,0.3524706092333044
115.1742,0.30361468472928116
126.9437,0.29782427181231946
133.4102,0.2568035444079097
139.7575,0.4750801663376282
156.4088,1.2050391459921872
170.0603,0.9185018056092336
186.0175,0.9361645820642621
186.5435,1.2966593403186006
315.3719,1.1820717141643333
354.3643,1.1855228939763414
386.5271,1.2742214729366947
438.3398,1.2124280949369561
496.2973,1.2625717482730237
664.2691,1.5368986079232332
689.9666,1.427228167867858
823.6657,1.028414154030624
